Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
11502,https://www.wga.hu/detail/d/delaroch/8delarod.jpg,"DELAROCHE, Paul","(b. 1797, Paris, d. 1856, Paris)",Portrait of Joseph-Carle-Paul-Horace Delaroche,1851,"Oil on canvas, 63 x 41 cm",Private collection,painting,portrait,French,1801-1850,"This portrait shows a boy at the age of fifteen, half length with a pile of books."
11573,https://www.wga.hu/detail/d/demut/scaevola.jpg,"DEMUT-MALINOVSKY, Vasily Ivanovich","(b. 1779, St. Petersburg, d. 1846, St. Petersburg)",The Russian Scaevola,1813,Gypsum,"State Tretyakov Gallery, Moscow",sculpture,other,Russian,1801-1850,The figure of the young peasant is depicted in the process of cutting his own hand in order to free himself from captivity.
11580,https://www.wga.hu/detail/d/denis_m/cycle1.jpg,"DENIS, Maurice","(b. 1870, Granville, d. 1943, Paris)",The Legend of St Hubert: 1. Departure,1897,"Oil on canvas, 225 x 175 cm","Mus?e D?partemental du Prieur?, Saint-Germain-en-Laye",painting,religious,French,1851-1900,The picture shows Departure.
11582,https://www.wga.hu/detail/d/denis_m/cycle3.jpg,"DENIS, Maurice","(b. 1870, Granville, d. 1943, Paris)",The Legend of St Hubert: 3. The Good Go,1897,"Oil on canvas, 225 x 175 cm","Mus?e D?partemental du Prieur?, Saint-Germain-en-Laye",painting,religious,French,1851-1900,The picture shows The Good Go.
11583,https://www.wga.hu/detail/d/denis_m/cycle4.jpg,"DENIS, Maurice","(b. 1870, Granville, d. 1943, Paris)",The Legend of St Hubert: 4. The Miracle,1897,"Oil on canvas, 225 x 175 cm","Mus?e D?partemental du Prieur?, Saint-Germain-en-Laye",painting,religious,French,1851-1900,The picture shows The Miracle.
11584,https://www.wga.hu/detail/d/denis_m/cycle5.jpg,"DENIS, Maurice","(b. 1870, Granville, d. 1943, Paris)",The Legend of St Hubert: 5. The Default,1897,"Oil on canvas, 225 x 175 cm","Mus?e D?partemental du Prieur?, Saint-Germain-en-Laye",painting,religious,French,1851-1900,The picture shows The Default.
11585,https://www.wga.hu/detail/d/denis_m/cycle6.jpg,"DENIS, Maurice","(b. 1870, Granville, d. 1943, Paris)",The Legend of St Hubert: 6. The Hellish Hunt,1897,"Oil on canvas, 225 x 175 cm","Mus?e D?partemental du Prieur?, Saint-Germain-en-Laye",painting,religious,French,1851-1900,The picture shows The Hellish Hunt.
11614,https://www.wga.hu/detail/d/deodato/grado4.jpg,DEODATO DI ORLANDI,(documented 1284-1315 in Lucca),Crucifixion of St Peter,1300-12,Fresco,"San Piero a Grado, Pisa",painting,religious,Italian,1251-1300,The picture shows a scene from the Stories of St Peter.
11624,https://www.wga.hu/detail/d/deruet/lovealle.jpg,"DERUET, Claude","(b. 1588, Nancy, d. 1660, Nancy)",An Allegory of Love,-,"Oil on canvas, 72 x 112 cm",Private collection,painting,mythological,French,1601-1650,"This allegory depicts twelve noblewomen seated in a garden, each holding an arrow."
11639,https://www.wga.hu/detail/d/desideri/marsuppm.jpg,DESIDERIO DA SETTIGNANO,"(b. ca. 1428, Settignano, d. 1464, Firenze)",Tomb of Carlo Marsuppini (detail),1453-64,Marble,"Santa Croce, Florence",sculpture,religious,Italian,1451-1500,The youths with their striding poses on the entablature.
11640,https://www.wga.hu/detail/d/desideri/marsuppn.jpg,DESIDERIO DA SETTIGNANO,"(b. ca. 1428, Settignano, d. 1464, Firenze)",Tomb of Carlo Marsuppini (detail),1453-64,Marble,"Santa Croce, Florence",sculpture,religious,Italian,1451-1500,The youths with their striding poses on the entablature.
11649,https://www.wga.hu/detail/d/desideri/tabernag.jpg,DESIDERIO DA SETTIGNANO,"(b. ca. 1428, Settignano, d. 1464, Firenze)",Tabernacle (detail),c. 1461,Marble,"San Lorenzo, Florence",sculpture,religious,Italian,1451-1500,The picture shows one of the candle-bearing angels.
11650,https://www.wga.hu/detail/d/desideri/tabernah.jpg,DESIDERIO DA SETTIGNANO,"(b. ca. 1428, Settignano, d. 1464, Firenze)",Tabernacle (detail),c. 1461,Marble,"San Lorenzo, Florence",sculpture,religious,Italian,1451-1500,The picture shows one of the candle-bearing angels.
11686,https://www.wga.hu/detail/d/dewez/seneffe2.jpg,"DEWEZ, Laurent-Beno?t","(b. 1731, Petit-Rechain, d. 1812, Groot-Bijgaarden)",Exterior view,1760,Photo,"Palace of Duke Julien de Pestre, Seneffe",architecture,other,Flemish,1751-1800,The photo shows the wrought-iron gate to the palace courtyard.
11694,https://www.wga.hu/detail/d/diazdela/forestsc.jpg,"DIAZ DE LA PE?A, Narcisse Virgile","(b. 1807, Bordeaux, d. 1876, Menton)",Forest Scene,-,"Oil on canvas, 61 x 46 cm",Private collection,painting,landscape,French,1851-1900,"This canvas depicts a forest scene with a great, sunny oak and fisherman at a pond."
11700,https://www.wga.hu/detail/d/diedo/schio2.jpg,"DIEDO, Antonio","(b. 1772, Venezia, d. 1847, Venezia))",Exterior view,begun 1805,Photo,"Cathedral, Schio",architecture,other,Italian,1801-1850,The photo shows a view of the cathedral.
11720,https://www.wga.hu/detail/d/dietrich/italiana.jpg,"DIETRICH, Christian Wilhelm Ernst","(b. 1712, Weimar, d. 1774, Dresden)",Italianate Landscape,-,"Oil on canvas, 56 x 71 cm",Private collection,painting,landscape,German,1701-1750,The painting depicts an Italianate mountainous landscape with a shepherds  family with their herd and a dog resting near.
11795,https://www.wga.hu/detail/d/domenech/casanav3.jpg,"DOM?NECH I MONTANER, Llu?s","(b. 1849, Barcelona, d. 1923, Barcelona)",Casa Nav?s: gallery,01岿 08老,Photo,"Pla?a del Mercadal, Reus",architecture,other,Catalan,1851-1900,The photo shows the gallery at the corner of the building. 
11801,https://www.wga.hu/detail/d/domenech/musica2.jpg,"DOM?NECH I MONTANER, Llu?s","(b. 1849, Barcelona, d. 1923, Barcelona)",Detail of the entrance,05岿 08老,Photo,"Palau de la M?sica Catalana, Barcelona",architecture,other,Catalan,1851-1900,The photo shows a former ticket box in an entrance pillar.
11802,https://www.wga.hu/detail/d/domenech/casanav4.jpg,"DOM?NECH I MONTANER, Llu?s","(b. 1849, Barcelona, d. 1923, Barcelona)",Casa Nav?s: interior,01岿 08老,Photo,"Pla?a del Mercadal, Reus",architecture,interior,Catalan,1851-1900,The photo shows a detail of the second floor.
11805,https://www.wga.hu/detail/d/domenici/venice2.jpg,"DOMENICHINI, Apollonio","(b. 1715, Venezia, d. ca. 1770, Venezia)","View of the Grand Canal, Venice",-,"Oil on canvas, 65 x 101 cm",Private collection,painting,landscape,Italian,1751-1800,This view of Venice shows the Grand Canal with the church.
11806,https://www.wga.hu/detail/d/domenici/venice3.jpg,"DOMENICHINI, Apollonio","(b. 1715, Venezia, d. ca. 1770, Venezia)","View of the Grand Canal, Venice",-,"Oil on canvas, 65 x 101 cm",Private collection,painting,landscape,Italian,1751-1800,This view of Venice shows the Grand Canal with the churches.
11890,https://www.wga.hu/detail/d/domenico/niccolo/dolenti1.jpg,DOMENICO DI NICCOL?,"(b. ca. 1363, Siena, d. ca. 1453, Siena)",Mourning Madonna and St John (detail),1414-15,Painted wood,"Museo dell'Opera del Duomo, Siena",sculpture,religious,Italian,1401-1450,The detail shows the head of St John the Evangelist.
11892,https://www.wga.hu/detail/d/domenico/niccolo/floor1.jpg,DOMENICO DI NICCOL?,"(b. ca. 1363, Siena, d. ca. 1453, Siena)",Stories of King David (detail),1423,Inlaid marble mosaic,"Duomo, Siena",sculpture,historical,Italian,1401-1450,The picture shows the inlaid marble mosaic depicting King David among four musicians.
11903,https://www.wga.hu/detail/d/domenico/paris/stemmi1.jpg,DOMENICO DI PARIS,(active 1443-1501 in Ferrara),Decoration of the Sala degli Stemmi: Virtues,1467-69,Pigmented stucco,"Palazzo Schifanoia, Ferrara",sculpture,other,Italian,1401-1450,"The picture shows Faith, one of the Virtues."
11904,https://www.wga.hu/detail/d/domenico/paris/stemmi2.jpg,DOMENICO DI PARIS,(active 1443-1501 in Ferrara),Decoration of the Sala degli Stemmi: Virtues,1467-69,Pigmented stucco,"Palazzo Schifanoia, Ferrara",sculpture,other,Italian,1401-1450,"The picture shows Charity, one of the Virtues."
11905,https://www.wga.hu/detail/d/domenico/paris/stemmi3.jpg,DOMENICO DI PARIS,(active 1443-1501 in Ferrara),Decoration of the Sala degli Stemmi: Virtues,1467-69,Pigmented stucco,"Palazzo Schifanoia, Ferrara",sculpture,other,Italian,1401-1450,"The picture shows Fortitude, one of the Virtues."
11906,https://www.wga.hu/detail/d/domenico/paris/stemmi4.jpg,DOMENICO DI PARIS,(active 1443-1501 in Ferrara),Decoration of the Sala degli Stemmi: Virtues,1467-69,Pigmented stucco,"Palazzo Schifanoia, Ferrara",sculpture,other,Italian,1401-1450,"The picture shows Temperance, one of the Virtues."
11942,https://www.wga.hu/detail/d/donatell/1_early/david/2david5.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",David (detail),1430s,Bronze,"Museo Nazionale del Bargello, Florence",sculpture,religious,Italian,1401-1450,David's head is turned slightly to the left and he is looking down.
11981,https://www.wga.hu/detail/d/donatell/1_early/siena/1font_11.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Herod's Banquet (detail),1427,Bronze,"Baptistery, Siena",sculpture,religious,Italian,1401-1450,The dancing figure of Salome.
11988,https://www.wga.hu/detail/d/donatell/1_early/siena/1font_41.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Small angel,c. 1417,Bronze,"Baptistery, Siena",sculpture,religious,Italian,1401-1450,The picture shows a small angel.
11989,https://www.wga.hu/detail/d/donatell/1_early/siena/1font_42.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Small angel,c. 1417,Bronze,"Baptistery, Siena",sculpture,religious,Italian,1401-1450,The picture shows a small angel.
12051,https://www.wga.hu/detail/d/donatell/2_mature/prato/pulpit031.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Pulpit (detail),1428-38,"Marble on mosaic background, 74 x 79 cm","Museo dell'Opera del Duomo, Prato",sculpture,religious,Italian,1401-1450,The dancing and music-making putti.
12064,https://www.wga.hu/detail/d/donatell/2_mature/sacristy/1sacri031.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Door of the Apostles (detail),1440-43,"Bronze, 36 x 34 cm","Old Sacristy, San Lorenzo, Florence",sculpture,religious,Italian,1401-1450,It represents Apostles Peter and Paul.
12121,https://www.wga.hu/detail/d/donatell/3_late/lorenzo/pulpit17.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Mocking of Christ,1460-65,Bronze,"San Lorenzo, Florence",sculpture,religious,Italian,1401-1450,This relief is on the Resurrection Pulpit.
12123,https://www.wga.hu/detail/d/donatell/3_late/lorenzo/pulpit19.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Pentecost,1460-65,Bronze,"San Lorenzo, Florence",sculpture,religious,Italian,1401-1450,This relief is on the Resurrection Pulpit.
12124,https://www.wga.hu/detail/d/donatell/3_late/lorenzo/pulpit19a.jpg,DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",St Luke,1460-65,Bronze,"San Lorenzo, Florence",sculpture,religious,Italian,1401-1450,This relief is on the Resurrection Pulpit.
12165,https://www.wga.hu/detail/d/donner/danube3.jpg,"DONNER, Georg Raphael","(b. 1693, Esslingen, d. 1741, Vienna)",Danube Well (detail),1737-39,"Lead-tin alloy, height 337 cm","?sterreichische Galerie Belvedere, Vienna",sculpture,mythological,Austrian,1701-1750,The river March is personified by a young woman.
12168,https://www.wga.hu/detail/d/dore/bible.jpg,"DOR?, Gustave","(b. 1832, Strasbourg, d. 1883, Paris)",Illustration to the Bible,-,Woodcut,Various collections,graphics,religious,French,1851-1900,It depicts Adam and Eve Driven out of Eden.
12180,https://www.wga.hu/detail/d/dorigny/louis/1/zenobi05.jpg,"DORIGNY, Louis","(b. 1654, Paris, d. 1742, Verona)",Ballroom ceiling (detail),1695-98,Fresco,"Palazzo Zenobio, Venice",painting,other,French,1651-1700,"In the corners of the room, vases brimming with flowers are depicted."
12181,https://www.wga.hu/detail/d/dorigny/louis/1/zenobi06.jpg,"DORIGNY, Louis","(b. 1654, Paris, d. 1742, Verona)",Ballroom ceiling (detail),1695-98,Fresco,"Palazzo Zenobio, Venice",painting,other,French,1651-1700,"This detail shows a composition with musical scores, instruments, and carpets."
12188,https://www.wga.hu/detail/d/dorigny/louis/2/orsett04.jpg,"DORIGNY, Louis","(b. 1654, Paris, d. 1742, Verona)",Bacchanal (detail),c. 1710,Fresco,"Palazzo Orsetti Dolfin Giacomelli, Treviso",painting,mythological,French,1651-1700,The painting culminates at the right side in a bearded satyr trying to grab hold of a reluctant young woman.
12199,https://www.wga.hu/detail/d/dorigny/louis/3/allegr05.jpg,"DORIGNY, Louis","(b. 1654, Paris, d. 1742, Verona)",Perseus Displaying the Head of Medusa (detail),c. 1719,Fresco,"Villa Allegri Arvedi, Cuzzano di Grezzana",painting,mythological,French,1651-1700,This detail shows Perseus brandishing the decapitated head of Medusa.
12205,https://www.wga.hu/detail/d/dorigny/louis/3/allegr11.jpg,"DORIGNY, Louis","(b. 1654, Paris, d. 1742, Verona)","Minerva, with Two Nymphs, Diana, and Aeolus (detail)",c. 1719,Fresco,"Villa Allegri Arvedi, Cuzzano di Grezzana",painting,mythological,French,1651-1700,This detail of the third scene on the ceiling of the main hall shows Minerva and Diana.
12270,https://www.wga.hu/detail/d/dou/1/fisherwi.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",A Fisherman's Wife,1653,"Oil on panel, 23 x 17 cm","Rijksmuseum, Amsterdam",painting,genre,Dutch,1651-1700,"The painting represents a fisherman's wife, leaning out of a window, with a reel in one hand and a spool of thread in the other."
12274,https://www.wga.hu/detail/d/dou/1/oil_lamp.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Girl with Burning Oil Lamp,-,"Oil on panel, 22 x 17 cm","Rijksmuseum, Amsterdam",painting,genre,Dutch,1651-1700,"This small painting depicts a girl with burning oil lamp, leaning from a window."
12288,https://www.wga.hu/detail/d/dou/1/reading.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Reading the Bible,c. 1645,"Oil on wood, 60 x 46 cm","Mus?e du Louvre, Paris",painting,genre,Dutch,1651-1700,The painting is also known as Anne and Tobias.
12289,https://www.wga.hu/detail/d/dou/1/woman.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Woman Pouring Water into a Jar,1640s,"Oil on wood, 36 x 27 cm","Mus?e du Louvre, Paris",painting,genre,Dutch,1651-1700,The painting is also known as The Dutch Cook.
12292,https://www.wga.hu/detail/d/dou/2/oldwoman.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Old Woman Watering Flowers,1660-65,"Oil on wood, 28,3 x 22,8 cm","Kunsthistorisches Museum, Vienna",painting,genre,Dutch,1651-1700,A figure engaged at some occupation at a window.
12296,https://www.wga.hu/detail/d/dou/2/selfport.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Self-Portrait,1640s,"Oil on panel, 48 x 37 cm","Rijksmuseum, Amsterdam",painting,portrait,Dutch,1651-1700,The painter in a window with a pipe in his mouth.
12300,https://www.wga.hu/detail/d/dou/2/young_gr.jpg,"DOU, Gerrit","(b. 1613, Leiden, d. 1675, Leiden)",Young Woman at the Window with a Bunch of Grapes,-,Oil on wood,"Galleria Sabauda, Turin",painting,genre,Dutch,1651-1700,A figure engaged at some occupation at a window.
12317,https://www.wga.hu/detail/d/drake/frederix.jpg,"DRAKE, Johann Friedrich","(b. 1805, Bad Pyrmont, 1882, Berlin)",Monument to King Frederick William III of Prussia (detail),1849,Carrara marble,"Tiergarten Park, Berlin",sculpture,portrait,German,1801-1850,Several crowded groups of nude or clothed figures in the open air.
12339,https://www.wga.hu/detail/d/droochsl/v_street.jpg,"DROOCHSLOOT, Joost Cornelisz.","(b. 1586, Utrecht, d. 1666, Utrecht)",Village Street,1650s,"Oil on panel, 48 x 73 cm",Private collection,painting,landscape,Dutch,1601-1650,The painting depicts a village street with a mill and figures outside a tavern and other figures on the street with horse-drawn wagons.
12340,https://www.wga.hu/detail/d/droochsl/vi_scene.jpg,"DROOCHSLOOT, Joost Cornelisz.","(b. 1586, Utrecht, d. 1666, Utrecht)",Village Scene,1645,"Oil on panel, 73 x 94 cm",Private collection,painting,genre,Dutch,1601-1650,"This painting depicts a village scene with peasants drinking and smoking around tables, other figures conversing in the background, a church beyond."
12342,https://www.wga.hu/detail/d/droochsl/village.jpg,"DROOCHSLOOT, Joost Cornelisz.","(b. 1586, Utrecht, d. 1666, Utrecht)",Village Street,1654,"Oil on panel, 92 x 157 cm","Sz?pm?v?szeti M?zeum, Budapest",painting,landscape,Dutch,1601-1650,"This painting depicts village life with numerous figures conversing, gossiping and passing the time of day."
12373,https://www.wga.hu/detail/d/dubois/rene/cartonni.jpg,"DUBOIS, Ren?","(b. 1737, Paris, d. 1799, Paris)",Cartonnier (detail),1765-70,"Oak laquered with vernis Martin, partly gilt, width 72 cm","Wallace Collection, London",metalwork,other,French,1751-1800,The gilt-bronze mount shows Cupid embracing Psyche and the seated figures of Peace and War.
12374,https://www.wga.hu/detail/d/duboisdr/nude1.jpg,"DUBOIS-DRAHONET, Alexandre-Jean","(b. 1791, Paris, d. 1829, Versailles)","Female Nude, Front View",1831,"Oil on canvas, 82 x 72 cm",Private collection,painting,other,French,1801-1850,"The companion piece of the painting, signed and dated, shows a female nude seen from the back. It was exhibited at the 1831 Salon."
12405,https://www.wga.hu/detail/d/duccio/maesta/0main/maest_04.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Maest? (detail),1308-11,"Tempera on wood, 79 x 65 cm (size of detail)","Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The detail represents St Victor.
12406,https://www.wga.hu/detail/d/duccio/maesta/0main/maest_05.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Maest? (detail),1308-11,"Tempera on wood, 79 x 65 cm (size of detail)","Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The detail shows St Savino.
12415,https://www.wga.hu/detail/d/duccio/maesta/crown_f/cro_f_2a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Parting from St John (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,Madonna and St John cross hands and arms in affection while outside the door St Peter meets St Paul.
12421,https://www.wga.hu/detail/d/duccio/maesta/crown_f/cro_f_6a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Death of the Madonna (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,"Christ holds up the animula, the soul of Madonna."
12428,https://www.wga.hu/detail/d/duccio/maesta/crown_v/cro_v_1b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Appearance Behind Locked Doors (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The detail shows the group of apostles at the right side of the picture.
12440,https://www.wga.hu/detail/d/duccio/maesta/predel_f/pre_f_1a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Annunciation (detail),1308-11,Tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the angel Gabriel bringing the Madonna greetings from God.
12441,https://www.wga.hu/detail/d/duccio/maesta/predel_f/pre_f_1b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Annunciation (detail),1308-11,Tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the vase of lilies.
12455,https://www.wga.hu/detail/d/duccio/maesta/predel_f/pre_f_5b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Massacre of the Innocents (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The despair of the weeping mothers who form an animated group.
12463,https://www.wga.hu/detail/d/duccio/maesta/predel_v/pre_v_2a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Temptation on the Temple (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The tiled floor and the pillars are rendered successfully in perspective.
12468,https://www.wga.hu/detail/d/duccio/maesta/predel_v/pre_v_5a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Wedding at Cana (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,"In the foreground are small casks out of which water is gushing, fat-bellied water jars, jugs and glasses now full of wine."
12478,https://www.wga.hu/detail/d/duccio/maesta/predel_v/pre_v_7b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Healing of the Blind Man (detail),1308-11,Tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the head of Christ.
12479,https://www.wga.hu/detail/d/duccio/maesta/predel_v/pre_v_7c.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Healing of the Blind Man (detail),1308-11,Tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the blind man at the fountain.
12494,https://www.wga.hu/detail/d/duccio/maesta/verso_1/verso07a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Christ Taken Prisoner (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The picture shows the flight of the apostles.
12495,https://www.wga.hu/detail/d/duccio/maesta/verso_1/verso07b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Christ Taken Prisoner (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,On the left Peter is cutting off the ear of the servant Malchus.
12502,https://www.wga.hu/detail/d/duccio/maesta/verso_1/verso11a.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Christ Mocked (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,"Outside the room, the cock painted at the top alludes to the second and third denials of Peter."
12509,https://www.wga.hu/detail/d/duccio/maesta/verso_1/verso11b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Christ Mocked (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,The detail shows the denial of Peter.
12517,https://www.wga.hu/detail/d/duccio/maesta/verso_2/verso20b.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Crucifixion (detail),1308-11,Tempera on wood,"Museo dell'Opera del Duomo, Siena",painting,religious,Italian,1301-1350,"On the right, the priests and soldiers are shown mocking and insulting, with rough movements."
12547,https://www.wga.hu/detail/d/duccio/various/52franci.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Madonna of the Franciscans (detail),c. 1300,"Tempera on wood, 23,5 x 16 cm (full painting)","Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,The detail shows the three kneeling friars.
12567,https://www.wga.hu/detail/d/duccio/various/zpoly_47d.jpg,DUCCIO di Buoninsegna,"(b. ca. 1255, Siena, d. 1319, Siena)",Polyptych No. 47 (detail),after 1310,Tempera on wood,"Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,The picture shows the figure of Christ.
12579,https://www.wga.hu/detail/d/duck/selling.jpg,"DUCK, Jacob","(b. ca. 1600, Utrecht, d. 1667, Utrecht)",A Cavalier Selling His Goods,-,"Oil on panel, 29 x 22 cm",Private collection,painting,religious,Dutch,1601-1650,"This painting depicts a cavalier selling his goods, with an old man reading a document and a young boy holding a coin."
12609,https://www.wga.hu/detail/d/dujardin/italland.jpg,"DUJARDIN, Karel","(b. 1622, Amsterdam, d. 1678, Venezia)",Italian Landscape with Elegant Riders and Fishermen,c. 1675,"Oil on canvas, 54 x 70 cm","Akademie der bildenden K?nste, Vienna",painting,landscape,Dutch,1651-1700,The subject of this painting is a riding party in a wide river landscape.
12670,https://www.wga.hu/detail/d/duquesno/jerome2/tomb4.jpg,"DUQUESNOY, J?r?me, the Younger","(b. 1602, Brussel, d. 1654, Brussel)",Tomb of Antonius Triest (detail),1651,Marble,"Cathedral of St Bavo, Ghent",sculpture,religious,Flemish,1601-1650,The detail shows the reclining figure of the bishop.
12740,https://www.wga.hu/detail/d/durer/1/05/07docto3.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Christ Among the Doctors (detail),1506,Oil on panel,"Museo Thyssen-Bornemisza, Madrid",painting,religious,German,1501-1550,"The depiction concentrates on the heads, books and hand gestures."
12758,https://www.wga.hu/detail/d/durer/1/07/landaue6.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",The Adoration of the Trinity (detail),1511,Oil on lindenwood,"Kunsthistorisches Museum, Vienna",painting,religious,German,1501-1550,The landscape at the bottom of the panel stretches into the far distance.
12800,https://www.wga.hu/detail/d/durer/1/10/5_4holy4.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",The Four Holy Men (detail),1526,"Oil on panel, width of detail 28 cm","Alte Pinakothek, Munich",painting,religious,German,1501-1550,The detail shows the head of St Mark.
12823,https://www.wga.hu/detail/d/durer/2/11/2/10selfnu.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Self-Portrait in the Nude,c. 1505,"Brush and ink heightened with white on green tinted paper, 29 x 15 cm","Kunstsammlungen, Weimar",graphics,portrait,German,1501-1550,A nude self portrait.
12832,https://www.wga.hu/detail/d/durer/2/11/3/09draper.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Study of a Drapery,1508,"Brush drawing on dark paper with white highlights, 257 x 192 mm","Mus?e du Louvre, Paris",graphics,study,German,1501-1550,Study for the Christ in the Coronation of the Madonna.
12837,https://www.wga.hu/detail/d/durer/2/11/3/08nude.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)","Male Nude, Half-length",1508,"Brush drawing with white highlights on dark paper, 198 x 216 mm","Kunsthalle, Bremen",graphics,study,German,1501-1550,Study for the Christ.
12842,https://www.wga.hu/detail/d/durer/2/11/4/07girl.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Portrait of a Girl,1515,"Charcoal, 420 x 290 mm","Staatliche Museen, Berlin",graphics,portrait,German,1501-1550,The girl's eyes are not open equally wide and has a somewhat sleepy expression.
12847,https://www.wga.hu/detail/d/durer/2/11/5/02seated.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Seated Prophet,1517,"Pen, 232 x 192 mm","Graphische Sammlung Albertina, Vienna",graphics,study,German,1501-1550,"Seen from below, his hands hidden in his lap, the prophet is depicted."
12859,https://www.wga.hu/detail/d/durer/2/11/5/13head1.jpg,"D?RER, Albrecht","(b. 1471, N?rnberg, d. 1528, N?rnberg)",Head of a Sleeping Child,1520,"Black chalk, brush and black and gray ink, 259 x 182 mm","Kunsthalle, Hamburg",graphics,study,German,1501-1550,This drawing shows an infant's head tilted back and viewed from slightly below.
